Material - Material Number (Key),Material - Text,Material - Material Group (Key),Material - Material Group (Text),SCHC 1 - Key,SCHC 1 - Text,Storage Location - Key (Not Compounded),Storage Location,Storage Type - Key,Storage Bin - Key,Storage Bin Type - Key (Not Compounded),Stock material - Blocked Stock (Key),Stock material - In Quality Insp. (Key),Stock material - Unrestr.-use Stock (Key),Total Stock,Material - CFSS UOI (Key),Material - CFSS UOI (Text),Technical Auth. Code - Key,Technical Auth. Code - TA Environment (Text),SMC - Key,SMC - Desc. Purch. Group (Key),GR Date - Key,Material - CFSS UOI Price (Key),Material - Lead IMA (Key),Material - Stock Type (Supply) (Key),Material - Lead IMA (Text),Material - Stock Classification (Key),Material - Stock Classification (Text),Material - DMC (Key),Material - DMC (Text),Material - Repair Code (Key),Material - Repair Code (Text),CC Physical Inventor - Key (Not Compounded),Last Inventory Date - Key,Quant - Key,Last Movement Date
00-0011430:NSN,"LIGHT,INDICATOR",6210,Indoor/Outdoor Light,#,Not assigned,000J,7 CFSD SERV,MB,258181K2B,2,0.000 EA,0.000 EA,14.000 EA,14,EA,each,L20E,DGLEPM,44T,(L) DLP 4-2-4-2,9/29/2014,37.80 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,704647,9/20/2021
00-0013545:NSN,"BRACKET,HYDRAULIC C",2540,Vehicular Furniture,#,Not assigned,000J,7 CFSD SERV,MA,218216G2,8,0.000 EA,0.000 EA,2.000 EA,2,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,8/19/2013,169.50 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/26/2019,2052295,9/26/2019
00-0013552:NSN,"ARM,ANGLEDOZER",2590,Vehicular Components,#,Not assigned,000J,7 CFSD SERV,BA,200506H,26,0.000 EA,0.000 EA,4.000 EA,4,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,8/19/2013,"2,500.00 CAD",1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,G,#,2719261,2/28/2022
00-0016347:NSN,"HOSE ASSEMBLY,NONMETALLIC",4720,Hose/Tubes Flexible,Q,Q,000M,7 CFSD Disposal,PS,310137B1,11,0.000 EA,0.000 EA,5.000 EA,5,EA,each,L634,DGLEPM,65W,(L) DLP 4-2-3-2,3/5/2014,19.65 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2818770,8/23/2022
00-0017788:NSN,"CAP,VALVE",4820,"Valves, Nonpowered",#,Not assigned,000J,7 CFSD SERV,MB,254173P3B,6,0.000 EA,0.000 EA,12.000 EA,12,EA,each,L66B,DGLEPM,66M,(L) DLP 5-2-2-2,8/19/2013,5.76 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,11/21/2018,50612,10/18/2021
00-0039249:NSN,"SCREW,TAPPING",5305,Screws,Q,Q,000J,7 CFSD SERV,MB,222182M1B,3,0.000 EA,0.000 EA,763.000 EA,763,EA,each,NSTC,Not assigned,66H,(L) DLP 5-2-2,8/19/2013,0.02 CAD,4J,X,CENT MGT - DEMAND TILL STOCKS EXHAUSTED,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,52583,8/19/2013
00-0000118:NSN,POWER SUPPLY,6130,"Converters, Nonrotat",#,Not assigned,000M,7 CFSD Disposal,FD,354282S,16,0.000 EA,0.000 EA,17.000 EA,7,EA,each,A31S,DGAEPM,52J,(A) DAP 6-2-3A,2/10/2016,"102,078.94 CAD",1B,D,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,2789265,5/26/2022
00-0000118:NSN,POWER SUPPLY,6130,"Converters, Nonrotat",#,Not assigned,000M,7 CFSD Disposal,FD,354282Z,19,0.000 EA,0.000 EA,17.000 EA,10,EA,each,A31S,DGAEPM,52J,(A) DAP 6-2-3A,2/10/2016,"102,078.94 CAD",1B,D,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,2789264,5/26/2022
00-0015835:NSN,"RESISTOR,FIXED,FILM",5905,Resistors,Q,Q,000J,7 CFSD SERV,MB,210228E2B,1,0.000 EA,0.000 EA,5.000 EA,5,EA,each,N255,DGMEPM,234,(M)D MAR P 4-2-3-3,8/19/2013,2.05 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,50080,8/19/2013
00-0017473:NSN,"RESISTOR,FIXED,FILM",5905,Resistors,Q,Q,000J,7 CFSD SERV,MB,214234K4B,2,0.000 EA,0.000 EA,33.000 EA,33,EA,each,A50J,DGAEPM,50T,(A) DAP 5-3-2-5,8/19/2013,1.80 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1387648,2/24/2017
