Material - Material Number (Key),Material - Text,Material - Material Group (Key),Material - Material Group (Text),SCHC 1 - Key,SCHC 1 - Text,Storage Location - Key (Not Compounded),Storage Location,Storage Type - Key,Storage Bin - Key,Storage Bin Type - Key (Not Compounded),Stock material - Blocked Stock (Key),Stock material - In Quality Insp. (Key),Stock material - Unrestr.-use Stock (Key),Total Stock,Material - CFSS UOI (Key),Material - CFSS UOI (Text),Technical Auth. Code - Key,Technical Auth. Code - TA Environment (Text),SMC - Key,SMC - Desc. Purch. Group (Key),GR Date - Key,Material - CFSS UOI Price (Key),Material - Lead IMA (Key),Material - Stock Type (Supply) (Key),Material - Lead IMA (Text),Material - Stock Classification (Key),Material - Stock Classification (Text),Material - DMC (Key),Material - DMC (Text),Material - Repair Code (Key),Material - Repair Code (Text),CC Physical Inventor - Key (Not Compounded),Last Inventory Date - Key,Quant - Key,Last Movement Date,Status,Mat Hlth Cat,Mat Hlt Sub Cat,Mat Hlth Sub Sub Cat,Tranche 1?,Storage Location Group,Last Demand Year,Assigned Year,Line Value,Price,Blocked,Quality Inspection,Lead EPM,Mark As Hazmat,Storage Medium,Size factor,Storage Bin,Count,Cubic Metres,25 CFSD Bin Structure,Transit Bin,Robot Message,Sheet
00-0011430:NSN,"LIGHT,INDICATOR",6210,Indoor/Outdoor Light,#,Not assigned,3,25CFSD SERV,SHA,098R110C,6,0.000 EA,0.000 EA,38.000 EA,38,EA,each,L20E,DGLEPM,44T,(L) DLP 4-2-4-2,7/11/2014,37.80 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4660902,4/29/2021,Success,,,,,,,2010,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0013541:NSN,"BRACKET,BLADE ARM,B",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,HPA,022F230B,12,0.000 EA,0.000 EA,53.000 EA,25,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,168.10 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,13133,11/18/2014,Success,,,,,,,1973,,,,,DGLEPM,,2. Pallet,1,,,,,,,
00-0013541:NSN,"BRACKET,BLADE ARM,B",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,SHA,126J132C,6,0.000 EA,0.000 EA,53.000 EA,28,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,168.10 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,3593159,11/15/2018,Success,,,,,,,,,,,,,,,,,,,,,,
00-0013545:NSN,"BRACKET,HYDRAULIC C",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,HPA,030L188B,14,0.000 EA,0.000 EA,27.000 EA,22,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,169.50 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,13196,10/2/2013,Success,,,,,,,1973,,,,,DGLEPM,,2. Pallet,1,,,,,,,
00-0013545:NSN,"BRACKET,HYDRAULIC C",2540,Vehicular Furniture,#,Not assigned,3,25CFSD SERV,SHA,128Y131C,6,0.000 EA,0.000 EA,27.000 EA,2,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,10/2/2013,169.50 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4039,10/2/2013,Success,,,,,,,,,,,,,,,,,,,,,,
00-0000118:NSN,POWER SUPPLY,6130,"Converters, Nonrotat",#,Not assigned,6,25CFSD Disposal,4BB,NSP22,#,0.000 EA,0.000 EA,2.000 EA,2,EA,each,A31S,DGAEPM,52J,(A) DAP 6-2-3A,12/3/2015,"102,078.94 CAD",1B,D,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,5292895,8/11/2022,Success,,,,,,,1978,,,,,DGAEPM,,3. Bulk,48,,,,,,,
00-0015946:NSN,"LEVER,MANUAL CONTROL",3040,Misc Power Trans Ep,#,Not assigned,6,25CFSD Disposal,DIS,PO14-054,24,0.000 EA,0.000 EA,23.000 EA,23,EA,each,A31Q,DGAEPM,52J,(A) DAP 6-2-3A,10/2/2013,403.10 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5195038,5/9/2022,Success,,,,,,,1984,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0015947:NSN,"SUBASSEMBLY,STUD PLATE",5820,Radio/Tele Comms ExA,Q,Q,6,25CFSD Disposal,DIS,PO14-089,24,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A31Q,DGAEPM,52J,(A) DAP 6-2-3A,10/2/2013,179.82 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,H,#,5220849,5/30/2022,Success,,,,,,,1985,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0016036:NSN,"CAPACITOR,FIXED,PLASTIC DIELECTRIC",5910,Capacitors,Q,Q,6,25CFSD Disposal,DIS,PO14-113,24,0.000 EA,0.000 EA,1.000 EA,1,EA,each,N039,DGMEPM,49S,(P) D SVCS C 2323,10/2/2013,488.95 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5235964,6/9/2022,Success,,,,,,,1990,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-0017317:NSN,TRANSISTOR,5961,Semiconductor Device,Y,ELECTROSTATIC SENSITIVE ELECTRONIC ITEMS,6,25CFSD Disposal,DIS,PO8-4120,24,0.000 EA,0.000 EA,3.000 EA,3,EA,each,C495,COMMMON,49N,(P) D SVCS C 23333,10/2/2013,65.86 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5105515,3/7/2022,Success,,,,,,,1984,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0017473:NSN,"RESISTOR,FIXED,FILM",5905,Resistors,Q,Q,6,25CFSD Disposal,SHA,162F110A,6,0.000 EA,0.000 EA,10.000 EA,10,EA,each,A50J,DGAEPM,50T,(A) DAP 5-3-2-5,10/2/2013,1.80 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5265164,7/14/2022,Success,,,,,,,1981,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
